Model,auroc_pad,auroc_stretch,spec_pad,spec_stretch,bal_acc_pad,bal_acc_stretch
Majority class,0.5,0.5,0.0,0.0,0.5,0.5
Logistic regression (pixels),0.8950160519927963,0.9119153886595747,0.4264069264069264,0.5974025974025974,0.7041595355548844,0.7780294640759757
Small CNN (scratch),0.9415864067026858,0.9471235052630401,0.5411255411255411,0.7402597402597403,0.7686247860666465,0.862377932145374
"ResNet-50 (ImageNet, fine-tuned)",0.9706393950579997,0.9895857802834547,0.6363636363636364,0.8095238095238095,0.8168898285177355,0.903469915097822
"DenseNet-121 (ImageNet, fine-tuned)",0.9356857612671565,0.983562088213251,0.525974025974026,0.7272727272727273,0.7623410181549717,0.8610523843081983
