model,auroc_normal,auroc_permuted,delta,acc_normal,acc_permuted,rank_normal,rank_permuted
logreg,0.8950160519927963,0.89494893564661,-6.711634618628004e-05,0.7742718446601942,0.772653721682848,4,2
smallcnn,0.9415864067026858,0.8463483114645904,-0.09523809523809534,0.8260517799352751,0.7605177993527508,2,4
resnet50,0.9706393950579997,0.8925914739868228,-0.07804792107117686,0.8624595469255664,0.7742718446601942,1,3
densenet121,0.9356857612671565,0.9087749029609495,-0.026910858306206986,0.8220064724919094,0.7605177993527508,3,1
