model,auroc,accuracy,macro_f1,recall,specificity,train_time_s,infer_ms,auroc_std,accuracy_std,macro_f1_std,params_M,ckpt_mb,n_seeds,n_train,auroc_lo,auroc_hi,rank
majority,0.5,0.6262135922330098,0.3850746268656716,1.0,0.0,0.0,1.275,0.0,0.0,0.0,0.0,0.0,1,4424,0.5,0.5,5
logreg,0.8989451547591084,0.8042071197411004,0.760095476725944,0.9844961240310077,0.5021645021645021,181.4,1.245,0.0,0.0,0.0,0.151,0.6,1,4424,0.8716869897868321,0.9220883678835994,4
smallcnn,0.9458147365124109,0.8284789644012945,0.7915908425700869,0.9974160206718347,0.5454545454545454,204.4,1.547,0.0,0.0,0.0,0.389,1.57,1,4424,0.9242708558889565,0.9626365410658542,2
resnet50,0.9716880879671578,0.8381877022653722,0.8052979130960782,0.9974160206718347,0.5714285714285714,261.6,1.871,0.0,0.0,0.0,23.51,94.34,1,4424,0.9559683730409639,0.9839651701049256,1
densenet121,0.9233475396266093,0.8025889967637541,0.7525078781512605,1.0,0.47186147186147187,353.1,2.282,0.0,0.0,0.0,6.955,28.38,1,4424,0.8934866838835207,0.9477228081420285,3
